iter	RMSE
0	348.1513823
1	340.1153457
2	330.9900846
3	323.1248767
4	318.1688404
5	312.6239922
6	307.2312761
7	303.5410237
8	298.9899862
9	294.5617841
10	291.5220561
11	288.2985369
12	284.7394239
13	281.7477865
14	279.3021502
15	277.5259281
16	275.5109122
17	273.1807535
18	271.2189695
19	269.0177525
20	267.1580727
21	265.9478128
22	265.0517805
23	263.971925
24	263.4314516
25	262.2516335
26	261.8039698
27	260.9982739
28	258.4838531
29	258.1298233
30	257.0678992
31	256.1612652
32	254.15217
33	251.9692308
34	251.12078
35	249.933924
36	246.5918965
37	246.4568651
38	245.716065
39	244.0986179
40	241.1593673
41	240.3744586
42	240.1040352
43	239.8453218
44	239.7253243
45	238.004082
46	236.6438078
47	235.9312646
48	235.6912475
49	233.2784442
50	231.1293301
51	230.4766899
52	230.3645081
53	230.0824369
54	229.8732442
55	227.9406913
56	226.8019719
57	226.3123606
58	225.4433436
59	224.9344402
60	224.3410723
61	223.8535903
62	223.4427757
63	222.2584923
64	222.2127742
65	221.3679393
66	221.1781188
67	220.4115731
68	220.2760715
69	219.9350112
70	219.5013248
71	218.387632
72	218.1448344
73	218.0153943
74	217.7006375
75	217.3088512
76	216.7724958
77	216.4720719
78	216.3258266
79	216.0643632
80	215.8620411
81	215.6890108
82	215.5640757
83	215.4887209
84	215.3059045
85	215.196095
86	214.9503933
87	213.4003239
88	212.4715782
89	211.1471107
90	211.0046876
91	210.890012
92	210.0861002
93	209.9780685
94	209.8760886
95	209.6431769
96	209.4221344
97	208.9255062
98	208.1891012
99	207.9751158
100	207.761576
101	207.0757133
102	206.9318522
103	206.7982326
104	206.3724817
105	205.9877513
106	205.6412288
107	204.6161563
108	204.4915791
109	204.4022275
110	204.3176253
111	204.0078433
112	203.6219448
113	203.3469832
114	203.2352468
115	202.4382263
116	201.433059
117	200.5425755
118	200.4275301
119	200.0255007
120	199.7661891
121	198.9976254
122	198.9090765
123	198.3150582
124	198.2156643
125	198.1240111
126	197.6423547
127	196.8979132
128	196.2890593
129	195.7495632
130	195.6716235
131	195.2316989
132	195.1583536
133	194.6855948
134	194.5964213
135	194.3722122
136	193.7425689
137	193.323035
138	193.2519083
139	193.1855638
140	192.9775657
141	192.4136224
142	192.0436109
143	191.7154381
144	191.6327763
145	191.4334843
146	191.367654
147	191.2922106
148	190.8011914
149	190.5087064
150	190.3434607
151	190.1705833
152	189.9027612
153	189.7452709
154	189.6825641
155	189.6153878
156	189.1871155
157	188.9474773
158	188.6888506
159	188.5444308
160	188.4201878
161	187.9090552
162	187.6909825
163	187.6085876
164	187.1715518
165	187.0081796
166	186.9518109
167	186.8097975
168	186.757814
169	186.7043845
170	186.2735371
171	186.0828669
172	185.7368657
173	185.6880406
174	185.6418119
175	185.4997157
176	185.386313
177	185.3445118
178	185.2940321
179	185.0632336
180	185.0235884
181	184.8229945
182	184.7192741
183	184.5118237
184	184.474556
185	184.1361097
186	183.9470079
187	183.8075267
188	183.6424623
189	183.5749499
190	183.2896017
191	183.1014799
192	182.9970776
193	182.8297207
194	182.6745206
195	182.4254956
196	182.2052395
197	182.1430086
198	182.1041207
199	181.9555458
