iter	Passed	Remaining
0	1	275
1	2	243
2	3	224
3	4	214
4	5	207
5	6	196
6	6	189
7	7	184
8	8	180
9	9	176
10	10	174
11	10	172
12	12	174
13	13	180
14	14	178
15	15	178
16	16	180
17	18	182
18	19	183
19	20	181
20	20	178
21	28	231
22	29	229
23	31	227
24	32	224
25	33	222
26	34	220
27	35	217
28	36	215
29	37	213
30	38	211
31	39	209
32	40	206
33	41	204
34	42	201
35	43	199
36	44	197
37	45	195
38	47	194
39	47	191
40	49	190
41	50	188
42	50	185
43	51	182
44	52	179
45	53	177
46	54	176
47	54	174
48	55	171
49	56	169
50	57	167
51	58	165
52	59	164
53	60	163
54	61	161
55	61	159
56	62	157
57	63	156
58	64	155
59	66	154
60	67	153
61	68	151
62	69	150
63	70	148
64	71	147
65	72	146
66	73	145
67	74	143
68	75	142
69	76	141
70	77	140
71	77	138
72	78	136
73	79	135
74	80	133
75	80	131
76	81	130
77	82	128
78	83	127
79	83	125
80	84	124
81	85	122
82	86	121
83	86	119
84	87	118
85	88	117
86	89	115
87	89	114
88	91	113
89	92	112
90	92	111
91	93	109
92	94	108
93	95	107
94	95	106
95	96	104
96	97	103
97	98	102
98	99	101
99	100	100
100	101	99
101	102	98
102	102	96
103	103	95
104	104	94
105	105	93
106	106	92
107	107	91
108	108	90
109	109	89
110	110	88
111	111	87
112	112	86
113	113	85
114	113	84
115	114	82
116	115	81
117	115	80
118	116	79
119	117	78
120	118	77
121	119	76
122	120	75
123	121	74
124	122	73
125	123	72
126	125	71
127	126	71
128	127	70
129	128	69
130	129	68
131	130	67
132	130	65
133	131	64
134	132	63
135	133	63
136	134	61
137	135	60
138	136	59
139	137	58
140	138	57
141	139	56
142	139	55
143	140	54
144	141	53
145	142	52
146	143	51
147	144	50
148	145	49
149	146	48
150	147	48
151	149	47
152	150	46
153	151	45
154	151	44
155	153	43
156	154	42
157	155	41
158	156	40
159	157	39
160	158	38
161	158	37
162	159	36
163	160	35
164	161	34
165	162	33
166	163	32
167	164	31
168	165	30
169	165	29
170	166	28
171	167	27
172	168	26
173	169	25
174	170	24
175	171	23
176	172	22
177	172	21
178	173	20
179	174	19
180	175	18
181	176	17
182	177	16
183	178	15
184	179	14
185	180	13
186	180	12
187	181	11
188	182	10
189	183	9
190	184	8
191	184	7
192	185	6
193	187	5
194	188	4
195	189	3
196	190	2
197	191	1
198	193	0
199	193	0
